,Nr,Numer losowania,Wylosowane 7 liczb,Data losowania,,,,,
178,28,4,14,22,33,42,1,10,23.03.2018
179,27,4,27,37,48,49,3,4,16.03.2018
180,26,15,23,28,33,36,4,7,09.03.2018
181,25,16,18,20,27,46,3,5,02.03.2018
182,24,18,26,33,42,46,4,10,23.02.2018
183,23,4,8,19,25,44,9,10,16.02.2018
184,22,7,8,24,34,46,4,8,09.02.2018
185,21,15,24,29,33,41,7,8,02.02.2018
186,20,10,23,26,29,35,3,5,26.01.2018
187,19,3,9,17,45,47,4,9,19.01.2018
188,18,16,17,25,40,44,2,9,12.01.2018
189,17,2,7,38,40,45,7,10,05.01.2018
190,16,16,30,33,40,43,2,4,29.12.2017
191,15,16,26,32,40,47,1,6,22.12.2017
192,14,1,7,12,16,18,1,4,15.12.2017
193,13,9,15,20,24,34,1,5,08.12.2017
194,12,5,16,20,29,30,2,7,01.12.2017
195,11,11,16,18,22,43,7,8,24.11.2017
196,10,3,4,17,41,47,2,5,17.11.2017
197,9,1,14,17,24,50,8,9,10.11.2017
198,8,2,35,44,45,50,6,7,03.11.2017
199,7,2,20,23,29,50,4,5,27.10.2017
